Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Precision pad abd 2-5
vacuum,15,4.5,4.5,1,,,,Precision pad abd 2-5
mop,15,3.5,3.5,1,,,,Precision pad abd 2-5
rug,15,15,1,-0.5,,,,Precision pad abd 2-5
aerosol can,15,6,6,1,,,,Precision pad abd 2-5
remote,15,6,2.5,-1,,,,Precision pad abd 2-5
chair,15,15,2,-0.5,,,,Precision pad abd 2-5
spray bottle cap,7.5,4.5,3,-1,,,,Precision pad abd 2-5
sponge,10,6,2.5,-1,,,,Precision pad abd 2-5
pen,14.5,0.9,0.9,1,,,,Precision pad abd 2-5
paper towel roll,15,9,9,1,,,,Precision pad abd 2-5
hair brush,12.5,2,1.5,1,,,,Precision pad abd 2-5
paper,15,15,0.2,-0.5,,,,Precision pad abd 2-5
ruler,15,2.25,0.25,-1,,,,Precision pad abd 2-5
cards,8,5,0.15,-1,,,,Precision pad abd 2-5
bottle,15,8,6,1,,,,Precision pad abd 2-5
razor,11,1.5,1,-1,,,,Precision pad abd 2-5
trash can,15,15,1,-0.5,,,,Precision pad abd 2-5
belt,15,3.5,0.35,-1,,,,Precision pad abd 2-5
toothbrush,15,1,1,1,,,,Precision pad abd 2-5
power cord,15,0.9,0.9,1,,,,Precision pad abd 2-5
wardrobe door,15,15,3,-0.5,,,,Precision pad abd 2-5
jewelry box,15,5,3,-1,,,,Precision pad abd 2-5
laundry detergent bottle,12.5,6.5,6.5,1,,,,Precision pad abd 2-5
placemat,15,15,0.4,-0.5,,,,Precision pad abd 2-5
magazines,15,15,1.5,-0.5,,,,Precision pad abd 2-5
small tray,12,10,4,-0.5,,,,Precision pad abd 2-5
knife holder,14,8,4,-1,,,,Precision pad abd 2-5
cup,15,7,7,1,,,,Precision pad abd 2-5
bowl,12.5,12.5,1,-0.5,,,,Precision pad abd 2-5
bucket,15,1,1,1,,,,Precision pad abd 2-5
toothbrush holder,9,4,3,1,,,,Precision pad abd 2-5
coaster,9,9,0.6,-0.5,,,,Precision pad abd 2-5
jar,12.5,11,1,-0.5,,,,Precision pad abd 2-5
plastic mat,15,15,1,-0.5,,,,Precision pad abd 2-5
cell phone,10,5.5,1,-1,,,,Precision pad abd 2-5
hose,15,2.25,2.25,1,,,,Precision pad abd 2-5
phone,9.5,5.25,1.75,-1,,,,Precision pad abd 2-5
dish washing brush,15,1.5,1.5,1,,,,Precision pad abd 2-5
