Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
cord,15,0.75,0.75,1,,,,Precision pad abd 2
toilet brush,15,1.5,1.5,1,,,,Precision pad abd 2
sponge,10,6,2.5,-1,,,,Precision pad abd 2
pen,14.5,0.9,0.9,1,,,,Precision pad abd 2
paper towel roll,15,9,9,1,,,,Precision pad abd 2
paper,15,15,0.2,-0.5,,,,Precision pad abd 2
ruler,15,2.25,0.25,-1,,,,Precision pad abd 2
cards,8,5,0.15,-1,,,,Precision pad abd 2
money,4.5,2,0.75,-1,,,,Precision pad abd 2
head band,10,0.7,0.35,-1,,,,Precision pad abd 2
razor,11,1.5,1,-1,,,,Precision pad abd 2
small bottle,11,3,3,1,,,,Precision pad abd 2
toothbrush,15,1,1,1,,,,Precision pad abd 2
hanger,15,0.2,0.2,1,,,,Precision pad abd 2
coin,2,2,0.15,-0.5,,,,Precision pad abd 2
power cord,15,0.9,0.9,1,,,,Precision pad abd 2
placemat,15,15,0.4,-0.5,,,,Precision pad abd 2
food,2,2,0.75,-0.5,,,,Precision pad abd 2
cup,15,7,7,1,,,,Precision pad abd 2
bowl,12.5,12.5,1,-0.5,,,,Precision pad abd 2
soap dish,10,7.5,2.5,-0.5,,,,Precision pad abd 2
safety pin,4,1,0.15,-1,,,,Precision pad abd 2
coaster,9,9,0.6,-0.5,,,,Precision pad abd 2
small knob,4.5,2.5,2.5,1,,,,Precision pad abd 2
cell phone,10,5.5,1,-1,,,,Precision pad abd 2
dish washing brush,15,1.5,1.5,1,,,,Precision pad abd 2
flashlight,15,2,2,1,,,,Precision pad abd 2
eating utensil,15,1,0.75,1,,,,Precision pad abd 2
food container lid,15,15,0.75,-0.5,,,,Precision pad abd 2
picture,15,11.5,0.3,-0.5,,,,Precision pad abd 2
coffee pot,12.5,2,1.5,1,,,,Precision pad abd 2
shower brush,9,4,2.5,-1,,,,Precision pad abd 2
small food,2,2,2,0.5,,,,Precision pad abd 2
rod-like handle on machine,15,1.25,1.25,1,,,,Precision pad abd 2
wrench,15,2,0.75,-1,,,,Precision pad abd 2
rod,15,1.25,1.25,1,,,,Precision pad abd 2
tool with t-shaped handle,9,1,1,1,,,,Precision pad abd 2
cylindrical part on machine,12.5,5.5,5.5,1,,,,Precision pad abd 2
drawer handle,10,1,1,1,,,,Precision pad abd 2
sandpaper,8,5.5,0.15,-0.5,,,,Precision pad abd 2
drill bit,6.5,0.75,0.75,1,,,,Precision pad abd 2
micrometer,11.5,1.75,1.75,1,,,,Precision pad abd 2
rod-like handle,15,1.25,1.25,1,,,,Precision pad abd 2
screwdriver,15,3.5,3.5,1,,,,Precision pad abd 2
thin rod,11.5,0.65,0.65,1,,,,Precision pad abd 2
metal cylinder,7.5,4.5,4.5,1,,,,Precision pad abd 2
safety glasses,12.5,1,0.75,1,,,,Precision pad abd 2
plastic shield,15,15,0.75,-0.5,,,,Precision pad abd 2
end mill,11.5,0.75,0.75,1,,,,Precision pad abd 2
brush,10,0.35,0.35,1,,,,Precision pad abd 2
tweezer,15,0.65,0.65,1,,,,Precision pad abd 2
screw,1.5,0.75,0.75,1,,,,Precision pad abd 2
hex wrench,10,0.65,0.65,1,,,,Precision pad abd 2
tap with t-shaped handle,15,2,2,1,,,,Precision pad abd 2
plexiglas rectangle,15,4.5,1,-1,,,,Precision pad abd 2
drill part,8.5,1,1,1,,,,Precision pad abd 2
allen wrench,10,0.75,0.75,1,,,,Precision pad abd 2
aluminum bar,11.5,3,2,-1,,,,Precision pad abd 2
shield,15,15,0.75,-0.5,,,,Precision pad abd 2
