Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Power pad abd 2
vacuum,15,4.5,4.5,1,,,,Power pad abd 2
remote,15,6,2.5,-1,,,,Power pad abd 2
paper towel roll,15,9,9,1,,,,Power pad abd 2
jewelry box,15,5,3,-1,,,,Power pad abd 2
laundry detergent bottle,12.5,6.5,6.5,1,,,,Power pad abd 2
cup,15,7,7,1,,,,Power pad abd 2
plug,10,1.5,1,-1,,,,Power pad abd 2
small knob,4.5,2.5,2.5,1,,,,Power pad abd 2
small plastic squeeze bottle,12.5,4,4,1,,,,Power pad abd 2
cylindrical part on machine,12.5,5.5,5.5,1,,,,Power pad abd 2
medium part,8,8,3.5,-0.5,,,,Power pad abd 2
base of handle,12.5,2.5,2.5,1,,,,Power pad abd 2
drill,12.5,5.5,5.5,1,,,,Power pad abd 2
round handle,10,10,2,-0.5,,,,Power pad abd 2
